ensimmaisetnovellit/ensimmaisetnovellit_0000.wav|I. Siihen aikaan, kun isä lampun osti, sanoi hän äidille näinikään: --Äiti hoi, kuulehan,--|I. Siihen aikaan, kun isä lampun osti, sanoi hän äidille näinikään: --Äiti hoi, kuulehan,--|7.43
ensimmaisetnovellit/ensimmaisetnovellit_0451.wav|vähäpuheinen ja miettiväinen. Hän oli oppipoika, kuuliainen mestarilleen ja hyvämaineinen.|vähäpuheinen ja miettiväinen. Hän oli oppipoika, kuuliainen mestarilleen ja hyvämaineinen.|8.5
ensimmaisetnovellit/ensimmaisetnovellit_0452.wav|Enimmäkseen katseli Martti eteensä ... kenkäinsä kärkiä ... ja liivejänsä,|Enimmäkseen katseli Martti eteensä ... kenkäinsä kärkiä ... ja liivejänsä,|6.1
ensimmaisetnovellit/ensimmaisetnovellit_0453.wav|joiden päällä välkähteli vaskiset kellon vitjat. Martti oli maalta tullut, puolen vuotta opissa ollut ...|joiden päällä välkähteli vaskiset kellon vitjat. Martti oli maalta tullut, puolen vuotta opissa ollut ...|8.59
ensimmaisetnovellit/ensimmaisetnovellit_0454.wav|suutarin opissa. Alusta alkaen oli hän tarkka ollut, ei tuhlannut penniäkään,|suutarin opissa. Alusta alkaen oli hän tarkka ollut, ei tuhlannut penniäkään,|7.36
ensimmaisetnovellit/ensimmaisetnovellit_0455.wav|mutta nyt vasta niitä oli sen verran varoja kertynyt, että niillä oli kellon saanut. Eilen illalla, kun viikkopalkka maksettiin,|mutta nyt vasta niitä oli sen verran varoja kertynyt, että niillä oli kellon saanut. Eilen illalla, kun viikkopalkka maksettiin,|9.56
ensimmaisetnovellit/ensimmaisetnovellit_0456.wav|oli määräsumma täyteen tullut... Ja eilen illalla, heti verstaasta päästyä,|oli määräsumma täyteen tullut... Ja eilen illalla, heti verstaasta päästyä,|7.07
ensimmaisetnovellit/ensimmaisetnovellit_0457.wav|oli kello käyty kellosepältä ostamassa. Katsottuna oli se jo siellä ollut monta viikkoa ennen ...|oli kello käyty kellosepältä ostamassa. Katsottuna oli se jo siellä ollut monta viikkoa ennen ...|7.31
ensimmaisetnovellit/ensimmaisetnovellit_0458.wav|viidestä kolmatta markasta luvassa, ilman vitjoja. Silinterikello se oli, neljällä kivellä käypä ...|viidestä kolmatta markasta luvassa, ilman vitjoja. Silinterikello se oli, neljällä kivellä käypä ...|8.26
ensimmaisetnovellit/ensimmaisetnovellit_0459.wav|joka oli yhtä hyvä, kuin jos olisi ollut kahdeksalla. Semmoisen oli sanonut itsellään olevan kelloseppäkin ...|joka oli yhtä hyvä, kuin jos olisi ollut kahdeksalla. Semmoisen oli sanonut itsellään olevan kelloseppäkin ...|7.37
ensimmaisetnovellit/ensimmaisetnovellit_0460.wav|eikä sitä tavallinen mies sen parempaa tarvitsekaan... Eikä se viittäkolmatta sitten maksanutkaan. Neljäänkolmatta markkaan|eikä sitä tavallinen mies sen parempaa tarvitsekaan... Eikä se viittäkolmatta sitten maksanutkaan. Neljäänkolmatta markkaan|9.82
ensimmaisetnovellit/ensimmaisetnovellit_0461.wav|ja viiteenkymmeneen penniin oli kelloseppä tosioston tullessa helpottanut ja antanut vielä vitjat yhteen hintaan.|ja viiteenkymmeneen penniin oli kelloseppä tosioston tullessa helpottanut ja antanut vielä vitjat yhteen hintaan.|9.24
ensimmaisetnovellit/ensimmaisetnovellit_0462.wav|Hyvinpä ne nyt välkkyivätkin samettiliivien päällä. Samettiliivit oli näet Martilla, juutalaiselta ostetut,|Hyvinpä ne nyt välkkyivätkin samettiliivien päällä. Samettiliivit oli näet Martilla, juutalaiselta ostetut,|8.47
ensimmaisetnovellit/ensimmaisetnovellit_0463.wav|ja saketti, edestä aukinainen ... jotta liivit näkyivät ja liivien päältä vaskiset kellonvitjat.|ja saketti, edestä aukinainen ... jotta liivit näkyivät ja liivien päältä vaskiset kellonvitjat.|7.64
ensimmaisetnovellit/ensimmaisetnovellit_0464.wav|Martti astuskeli Esplanaadia pitkin ... katseli eteensä ... sitten kenkäinsä kärkiä ja aina ohimennen vaskisia vitjoja,|Martti astuskeli Esplanaadia pitkin ... katseli eteensä ... sitten kenkäinsä kärkiä ja aina ohimennen vaskisia vitjoja,|9.55
ensimmaisetnovellit/ensimmaisetnovellit_0465.wav|jotka kiilsivät kuin kullalle. Esplanaadissa käveli paljon ihmisiä, ja Kappelin edustalla,|jotka kiilsivät kuin kullalle. Esplanaadissa käveli paljon ihmisiä, ja Kappelin edustalla,|8.3
ensimmaisetnovellit/ensimmaisetnovellit_0466.wav|jossa musiikki soitti, oli niitä tungokseen asti. Mutta ei Martti halunnut tungoksessa kävellä.|jossa musiikki soitti, oli niitä tungokseen asti. Mutta ei Martti halunnut tungoksessa kävellä.|7.64
ensimmaisetnovellit/ensimmaisetnovellit_0467.wav|Marttia miellytti paremmin kävellä väljemmässä väessä. Siellä on mukavampi kävellä semmoisen miehen, jolla on kello ...|Marttia miellytti paremmin kävellä väljemmässä väessä. Siellä on mukavampi kävellä semmoisen miehen, jolla on kello ...|8.21
ensimmaisetnovellit/ensimmaisetnovellit_0468.wav|on kello ja välkkyvät kellon vitjat. Eihän niitä tungoksessa kukaan näe ... ei itsekään, vielä vähemmän muut.|on kello ja välkkyvät kellon vitjat. Eihän niitä tungoksessa kukaan näe ... ei itsekään, vielä vähemmän muut.|9.53
ensimmaisetnovellit/ensimmaisetnovellit_0469.wav|Martista näytti välistä, että muutamat hänen kellonvitjoihinsa sivumennen katsahtivat. Ja niillä ei ollut kelloa niillä,|Martista näytti välistä, että muutamat hänen kellonvitjoihinsa sivumennen katsahtivat. Ja niillä ei ollut kelloa niillä,|8.35
ensimmaisetnovellit/ensimmaisetnovellit_0470.wav|jotka niin katsahtivat ... mahtoivat ajatella, että kunpa heilläkin olisi.|jotka niin katsahtivat ... mahtoivat ajatella, että kunpa heilläkin olisi.|5.98
ensimmaisetnovellit/ensimmaisetnovellit_0471.wav|Paljoa enemmän niitä näytti olevankin niitä, joilla ei ollut kelloa, kuin niitä, joilla oli...|Paljoa enemmän niitä näytti olevankin niitä, joilla ei ollut kelloa, kuin niitä, joilla oli...|6.39
ensimmaisetnovellit/ensimmaisetnovellit_0472.wav|Niillä ei varmaankaan kelloa ollut, joilla oli takki kiinni ... olisivat kai ne sen auki pitäneet, jos olisi ollut kello.|Niillä ei varmaankaan kelloa ollut, joilla oli takki kiinni ... olisivat kai ne sen auki pitäneet, jos olisi ollut kello.|9.45
ensimmaisetnovellit/ensimmaisetnovellit_0473.wav|Martti ei oikein tahtonut osata, missä kätensä pitäisi ... koetti pitää selän takana ristissä.|Martti ei oikein tahtonut osata, missä kätensä pitäisi ... koetti pitää selän takana ristissä.|7.35
ensimmaisetnovellit/ensimmaisetnovellit_0474.wav|Olisi ollut mukavampi pitää nutun taskussa molemmat, mutta Martin saketissa olivat taskut takana. Ei se ollut mukavaa ...|Olisi ollut mukavampi pitää nutun taskussa molemmat, mutta Martin saketissa olivat taskut takana. Ei se ollut mukavaa ...|9.03
ensimmaisetnovellit/ensimmaisetnovellit_0475.wav|eikä kupeellakaan suoraan riippumassa ... remppasivat niin pahasti silloin edestakaisin. Parasta oli pitää niitä kellonvitjoissa,|eikä kupeellakaan suoraan riippumassa ... remppasivat niin pahasti silloin edestakaisin. Parasta oli pitää niitä kellonvitjoissa,|8.73
ensimmaisetnovellit/ensimmaisetnovellit_0476.wav|toisen vuoron toista... Siitä oli sitten sievä katsoa kelloaan. Ja sitten Martti katsoikin kelloaan...|toisen vuoron toista... Siitä oli sitten sievä katsoa kelloaan. Ja sitten Martti katsoikin kelloaan...|8.54
ensimmaisetnovellit/ensimmaisetnovellit_0477.wav|Onko yhdessä tornikellon kanssa?--Yhdessäpä on ... minuutilleen.--Paljonko se onkaan?--Viittä vailla puoli kuusi.|Onko yhdessä tornikellon kanssa?--Yhdessäpä on ... minuutilleen.--Paljonko se onkaan?--Viittä vailla puoli kuusi.|9.58
ensimmaisetnovellit/ensimmaisetnovellit_0478.wav|Martti pani kellon takaisin taskuun ja tunsi koko vasemmalla puolen ruumistaan, että siellä se on kello ...|Martti pani kellon takaisin taskuun ja tunsi koko vasemmalla puolen ruumistaan, että siellä se on kello ...|8.37
ensimmaisetnovellit/ensimmaisetnovellit_0479.wav|vasemmassa liivintaskussa. Tuntui se vähän oudolta ... tuntui liivivaatteen läpi ihoon asti, mutta|vasemmassa liivintaskussa. Tuntui se vähän oudolta ... tuntui liivivaatteen läpi ihoon asti, mutta|7.2
ensimmaisetnovellit/ensimmaisetnovellit_0480.wav|hyvältä se kuitenkin tuntui.-- Ennen kellotonna ollessaan oli Martti aina väistynyt kaikkien tieltä,|hyvältä se kuitenkin tuntui.-- Ennen kellotonna ollessaan oli Martti aina väistynyt kaikkien tieltä,|7.66
ensimmaisetnovellit/ensimmaisetnovellit_0481.wav|kun katua tai Esplanaadia kulki ... varsinkin niiden tieltä, joilla oli kello. Hän melkein oli kunnioittanut niitä, joilla oli|kun katua tai Esplanaadia kulki ... varsinkin niiden tieltä, joilla oli kello. Hän melkein oli kunnioittanut niitä, joilla oli|8.96
ensimmaisetnovellit/ensimmaisetnovellit_0482.wav|ja hänellä ei! Ainahan on Martti ollut ujonlainen ja aina nöyrä ... ja epävarma olennossaan,|ja hänellä ei! Ainahan on Martti ollut ujonlainen ja aina nöyrä ... ja epävarma olennossaan,|8.0
ensimmaisetnovellit/ensimmaisetnovellit_0483.wav|sen hän itsekin huomasi. Mutta ehkä se vain on siksi niin ollut, ettei hänellä ollut kelloa ennen. Nyt on hänellä kello...|sen hän itsekin huomasi. Mutta ehkä se vain on siksi niin ollut, ettei hänellä ollut kelloa ennen. Nyt on hänellä kello...|9.53
ensimmaisetnovellit/ensimmaisetnovellit_0484.wav|Ei hän tahdo olla liian rohkea nytkään eikä ylpeä millään lailla ... mutta hän tuntuu itse mielestään kuitenkin entistään varmemmalta.|Ei hän tahdo olla liian rohkea nytkään eikä ylpeä millään lailla ... mutta hän tuntuu itse mielestään kuitenkin entistään varmemmalta.|8.77
ensimmaisetnovellit/ensimmaisetnovellit_0485.wav|Eikä hän nyt ainakaan _joka_ miehen tieltä aio ruveta väistymään. On kai sitä tilaa toisellakin väistyä yhtä paljon ...|Eikä hän nyt ainakaan joka miehen tieltä aio ruveta väistymään. On kai sitä tilaa toisellakin väistyä yhtä paljon ...|8.05
ensimmaisetnovellit/ensimmaisetnovellit_0486.wav|tarvitseeko hänen väistyä enemmän kuin toisenkaan, joka katua kulkee? Hän päätti, että ei suinkaan... Niin hän päätti,|tarvitseeko hänen väistyä enemmän kuin toisenkaan, joka katua kulkee? Hän päätti, että ei suinkaan... Niin hän päätti,|9.23
ensimmaisetnovellit/ensimmaisetnovellit_0487.wav|sillä ei kai Esplanaadi ole enemmän toisen kuin toisenkaan. Ja henkirahanhan hänkin maksaa...|sillä ei kai Esplanaadi ole enemmän toisen kuin toisenkaan. Ja henkirahanhan hänkin maksaa...|7.5
ensimmaisetnovellit/ensimmaisetnovellit_0488.wav|Taitavat kaikki luulla, kun hänet näkevät, että hänen sitä mukaa aina vain pitää väistyä ja muiden ei ollenkaan. Mutta siinä ne erehtyvät,|Taitavat kaikki luulla, kun hänet näkevät, että hänen sitä mukaa aina vain pitää väistyä ja muiden ei ollenkaan. Mutta siinä ne erehtyvät,|9.82
ensimmaisetnovellit/ensimmaisetnovellit_0489.wav|jotka niin luulevat... Joka kerran sattuu mistä kulkemaan ... totta kai se siitä kulkeekin,|jotka niin luulevat... Joka kerran sattuu mistä kulkemaan ... totta kai se siitä kulkeekin,|7.17
ensimmaisetnovellit/ensimmaisetnovellit_0490.wav|kulkekoon toinen toisesta kohti... Ja kyllä Martti nyt kulkikin, mistä tahtoi... Mutta hän tuli kuitenkin aina väistyneeksi ...|kulkekoon toinen toisesta kohti... Ja kyllä Martti nyt kulkikin, mistä tahtoi... Mutta hän tuli kuitenkin aina väistyneeksi ...|9.76
ensimmaisetnovellit/ensimmaisetnovellit_0491.wav|ja hän vakuutti itselleen, että sen verran vain, mikä on ihan välttämättömän tarpeellista.|ja hän vakuutti itselleen, että sen verran vain, mikä on ihan välttämättömän tarpeellista.|6.67
ensimmaisetnovellit/ensimmaisetnovellit_0492.wav|Jos ei ollenkaan väistyisi, niin ei tulisi kenenkään kulusta mitään. Eikä hän nyt enää väisty enemmän kellollisten tieltä kuin kellottomainkaan ...|Jos ei ollenkaan väistyisi, niin ei tulisi kenenkään kulusta mitään. Eikä hän nyt enää väisty enemmän kellollisten tieltä kuin kellottomainkaan ...|9.34
ensimmaisetnovellit/ensimmaisetnovellit_0493.wav|minkä väistyy, väistyy kenen tieltä tahansa ... ilman vain vaikka huvikseen... Ja tarvitseeko sitä aina suoraan kulkea?|minkä väistyy, väistyy kenen tieltä tahansa ... ilman vain vaikka huvikseen... Ja tarvitseeko sitä aina suoraan kulkea?|8.5
ensimmaisetnovellit/ensimmaisetnovellit_0494.wav|Paljoa hauskempi on välistä mutkitellenkin kävellä milloin mitäkin puolta...|Paljoa hauskempi on välistä mutkitellenkin kävellä milloin mitäkin puolta...|6.26
ensimmaisetnovellit/ensimmaisetnovellit_0495.wav|Olisi Martin mieli kuitenkin välistä tehnyt puulautua noiden kaartilaisten keskitse, työntäytyä heidän välitsensä eikä antaa tietä,|Olisi Martin mieli kuitenkin välistä tehnyt puulautua noiden kaartilaisten keskitse, työntäytyä heidän välitsensä eikä antaa tietä,|9.7
ensimmaisetnovellit/ensimmaisetnovellit_0496.wav|kun siinä niin ylpeästi rivittäin kulkivat. Mutta ei Martti sitä kuitenkaan tehnyt ...|kun siinä niin ylpeästi rivittäin kulkivat. Mutta ei Martti sitä kuitenkaan tehnyt ...|6.53
ensimmaisetnovellit/ensimmaisetnovellit_0497.wav|olisivat saattaneet survaista jotenkin ja vitjat saattaneet jotenkuten tarttua nappiin kiinni ja katketa, tai kello lentää maahan ja särkyä...|olisivat saattaneet survaista jotenkin ja vitjat saattaneet jotenkuten tarttua nappiin kiinni ja katketa, tai kello lentää maahan ja särkyä...|9.98
ensimmaisetnovellit/ensimmaisetnovellit_0498.wav|Ehyt kai se vielä on? Ehyt on ... ja nakuttaa myöskin ... eikä niillä, noilla kaartilaisilla,|Ehyt kai se vielä on? Ehyt on ... ja nakuttaa myöskin ... eikä niillä, noilla kaartilaisilla,|8.22
ensimmaisetnovellit/ensimmaisetnovellit_0499.wav|kuitenkaan ole monellakaan kelloa. Tyhjää ne siinä kävelevät keskitietä ja ylpeilevät tyttöjensä kanssa...|kuitenkaan ole monellakaan kelloa. Tyhjää ne siinä kävelevät keskitietä ja ylpeilevät tyttöjensä kanssa...|7.79
ensimmaisetnovellit/ensimmaisetnovellit_0500.wav|Ei Martti ole tytöistä milloinkaan ... eikä hän niistä nytkään, vaikka on kello lakkarissa. Hullu se on, joka rahansa tyttöihin tärvää ...|Ei Martti ole tytöistä milloinkaan ... eikä hän niistä nytkään, vaikka on kello lakkarissa. Hullu se on, joka rahansa tyttöihin tärvää ...|9.69
ensimmaisetnovellit/ensimmaisetnovellit_0501.wav|säästää ennen ja ostaa jonkun kalun, esimerkiksi kellon... Ei se mitään kuitenkaan,|säästää ennen ja ostaa jonkun kalun, esimerkiksi kellon... Ei se mitään kuitenkaan,|7.54
ensimmaisetnovellit/ensimmaisetnovellit_0502.wav|jos itseensä vähän menettäisi ... vaikka joisi vaikka lasillisen limunaatia ... kymmenen pennin edestä ...|jos itseensä vähän menettäisi ... vaikka joisi vaikka lasillisen limunaatia ... kymmenen pennin edestä ...|7.92
ensimmaisetnovellit/ensimmaisetnovellit_0503.wav|ja vaikka kahdenkymmenenkin pennin edestä ... eihän se paljon olisi... Sentähden meni Martti juomaan lasillisen liinunaatia.|ja vaikka kahdenkymmenenkin pennin edestä ... eihän se paljon olisi... Sentähden meni Martti juomaan lasillisen liinunaatia.|9.88
ensimmaisetnovellit/ensimmaisetnovellit_0504.wav|Juo häntä kerran kellonsa kunniaksi! Martti joi siitä vesipuodista, jonka ovenpielet olivat peililasista;|Juo häntä kerran kellonsa kunniaksi! Martti joi siitä vesipuodista, jonka ovenpielet olivat peililasista;|9.49
ensimmaisetnovellit/ensimmaisetnovellit_0505.wav|niissä näkyi koko mies ja miehen vitjat...|niissä näkyi koko mies ja miehen vitjat...|4.19
ensimmaisetnovellit/ensimmaisetnovellit_0506.wav|Martti valutteli vähissä erin alas limunaatia ja katseli juomalasia pitkin ovenpieliin. Sitten Martti maksoi, antoi markan|Martti valutteli vähissä erin alas limunaatia ja katseli juomalasia pitkin ovenpieliin. Sitten Martti maksoi, antoi markan|9.89
ensimmaisetnovellit/ensimmaisetnovellit_0507.wav|ja sai yhdeksänkymmentä penniä takaisin. Muut juomamiehet näkyivät maksavan mikä viidestäkymmenestä,|ja sai yhdeksänkymmentä penniä takaisin. Muut juomamiehet näkyivät maksavan mikä viidestäkymmenestä,|7.59
ensimmaisetnovellit/ensimmaisetnovellit_0508.wav|mikä viidestäkolmatta pennistä ... markasta ei kukaan. Ei mahtanut olla ...|mikä viidestäkolmatta pennistä ... markasta ei kukaan. Ei mahtanut olla ...|6.18
ensimmaisetnovellit/ensimmaisetnovellit_0509.wav|eikä niillä näkynyt monella olevan kelloakaan. Ei Martti tahdo olla millään lailla ylpeä. Ja erehtyisi se,|eikä niillä näkynyt monella olevan kelloakaan. Ei Martti tahdo olla millään lailla ylpeä. Ja erehtyisi se,|8.99
ensimmaisetnovellit/ensimmaisetnovellit_0510.wav|joka luulisi, että hän muka sentähden olisi ylpeäksi tullut, että on tullut kellon ostaneeksi. Hullu tyhjästä ylpeilee...|joka luulisi, että hän muka sentähden olisi ylpeäksi tullut, että on tullut kellon ostaneeksi. Hullu tyhjästä ylpeilee...|9.46
ensimmaisetnovellit/ensimmaisetnovellit_0511.wav|Ei... Mutta taisivat muut oppipojat ja kisällit hänestä sitä eilen kuitenkin luulla. Siltä hänestä näytti, kun hän sitä nyt ajatteli,|Ei... Mutta taisivat muut oppipojat ja kisällit hänestä sitä eilen kuitenkin luulla. Siltä hänestä näytti, kun hän sitä nyt ajatteli,|9.58
ensimmaisetnovellit/ensimmaisetnovellit_0512.wav|vaikka ei hän sitä eilen niin... Eihän hän ollut muuta kuin leikillä vain kysynyt, paljonko _heidän_ kellonsa oli...|vaikka ei hän sitä eilen niin... Eihän hän ollut muuta kuin leikillä vain kysynyt, paljonko heidän kellonsa oli...|8.65
ensimmaisetnovellit/ensimmaisetnovellit_0513.wav|Ja siitä ne olivat alkaneet pilkata ja kysellä koko eilisen iltaa ja tämän aamua. »|Ja siitä ne olivat alkaneet pilkata ja kysellä koko eilisen iltaa ja tämän aamua.|6.21
ensimmaisetnovellit/ensimmaisetnovellit_0514.wav|Paljonko kellosi on, Martti?... Sano nyt meillekin, paljonko on kellosi'» Taisi käydä kateeksi niiden, kun ei itsellään ollut ...|Paljonko kellosi on, Martti?... Sano nyt meillekin, paljonko on kellosi' Taisi käydä kateeksi niiden, kun ei itsellään ollut ...|9.01
ensimmaisetnovellit/ensimmaisetnovellit_0515.wav|olisivat kai ne saaneet, jos olisivat tahtoneet ... saahan niitä kelloja vaikka kuka kellosepän puodista... Tuolla niitä nyt tuleekin!|olisivat kai ne saaneet, jos olisivat tahtoneet ... saahan niitä kelloja vaikka kuka kellosepän puodista... Tuolla niitä nyt tuleekin!|9.08
ensimmaisetnovellit/ensimmaisetnovellit_0516.wav|Martti meni heitä vastaan ja rupesi seisahtumaan heidän kohdallansa. »Paljonko on kellosi, Martti'»|Martti meni heitä vastaan ja rupesi seisahtumaan heidän kohdallansa. Paljonko on kellosi, Martti'|6.8
ensimmaisetnovellit/ensimmaisetnovellit_0517.wav|kysyivät ne taas ja mennä reuhkasivat nauraen ohitse... Niinpähän on! ... kateeksipahan käy! Mutta käyköön,|kysyivät ne taas ja mennä reuhkasivat nauraen ohitse... Niinpähän on! ... kateeksipahan käy! Mutta käyköön,|8.78
ensimmaisetnovellit/ensimmaisetnovellit_0518.wav|mitäpä Martti siitä ... oma syynsähän se on ... olisivat säästäneet!... Ja pakkoko oli panna ansionsa olueen menemään'|mitäpä Martti siitä ... oma syynsähän se on ... olisivat säästäneet!... Ja pakkoko oli panna ansionsa olueen menemään'|9.85
ensimmaisetnovellit/ensimmaisetnovellit_0519.wav|saavat nyt olla ilman kelloa!... Kun elää siististi ja säästää, niin äkkiähän sen kellon saa,|saavat nyt olla ilman kelloa!... Kun elää siististi ja säästää, niin äkkiähän sen kellon saa,|6.61
ensimmaisetnovellit/ensimmaisetnovellit_0520.wav|ja siinä ei menekään raha hukkaan... Eipä Martti ollut pitkään aikaan muistanut katsoa kelloaan...|ja siinä ei menekään raha hukkaan... Eipä Martti ollut pitkään aikaan muistanut katsoa kelloaan...|8.21
ensimmaisetnovellit/ensimmaisetnovellit_0521.wav|Paljonko nyt olikaan jo aika kulunut?... »Pois, poika, tieltä!» Ka, mitä se tuo kaartilainen, mokoma? ...|Paljonko nyt olikaan jo aika kulunut?... Pois, poika, tieltä! Ka, mitä se tuo kaartilainen, mokoma? ...|8.09
ensimmaisetnovellit/ensimmaisetnovellit_0522.wav|luuleekohan se olevansa mikä herra ja saavansa survia?... Olisikohan ollut maksajata, jos olisi kello maahan pudonnut?|luuleekohan se olevansa mikä herra ja saavansa survia?... Olisikohan ollut maksajata, jos olisi kello maahan pudonnut?|8.42
ensimmaisetnovellit/ensimmaisetnovellit_0523.wav|Ja Martti katseli vihaisesti kaartilaisen jälkeen. Mutta kaartilainen vain meni, ja helmat heilui. »|Ja Martti katseli vihaisesti kaartilaisen jälkeen. Mutta kaartilainen vain meni, ja helmat heilui.|8.87
ensimmaisetnovellit/ensimmaisetnovellit_0524.wav|Siinähän sinä olet ... ja minä kun olen etsinyt!» Se oli oppipoika sekin, Antti, saman suutarin luona opissa kuin Marttikin ja|Siinähän sinä olet ... ja minä kun olen etsinyt! Se oli oppipoika sekin, Antti, saman suutarin luona opissa kuin Marttikin ja|9.97
ensimmaisetnovellit/ensimmaisetnovellit_0525.wav|yht'aikaa maalta tullut. He olivat hyviä ystäviä. Olivat yhdessä ruvenneet kumpainenkin kellorahaa säästämään,|yht'aikaa maalta tullut. He olivat hyviä ystäviä. Olivat yhdessä ruvenneet kumpainenkin kellorahaa säästämään,|9.87
ensimmaisetnovellit/ensimmaisetnovellit_0526.wav|vaikka Martti oli ennen saanut summan täyteen. Antista puuttui vielä paljon ...|vaikka Martti oli ennen saanut summan täyteen. Antista puuttui vielä paljon ...|9.11
ensimmaisetnovellit/ensimmaisetnovellit_0527.wav|hän ei tahtonut saada millään lailla kertymään ja hän kunnioitti Marttia, joka sai... Martti piti vuorostaan Antista, sillä tämä oli toisenlainen kuin ne muut.|hän ei tahtonut saada millään lailla kertymään ja hän kunnioitti Marttia, joka sai... Martti piti vuorostaan Antista, sillä tämä oli toisenlainen kuin ne muut.|9.1
ensimmaisetnovellit/ensimmaisetnovellit_0528.wav|Ja kun Martti oli kellon ostanut, piti hän Antista vieläkin enemmän ... sillä nyt Antti häntä melkein ihmetellen katseli,|Ja kun Martti oli kellon ostanut, piti hän Antista vieläkin enemmän ... sillä nyt Antti häntä melkein ihmetellen katseli,|7.99
ensimmaisetnovellit/ensimmaisetnovellit_0529.wav|kun katseli hänen kelloaan... Yhdessä olivat käyneet kellon ostamassa.|kun katseli hänen kelloaan... Yhdessä olivat käyneet kellon ostamassa.|5.76
ensimmaisetnovellit/ensimmaisetnovellit_0530.wav|Martti oli tahtonut Antin matkaansa, mutta muille he eivät olleet sanoneet mitään.|Martti oli tahtonut Antin matkaansa, mutta muille he eivät olleet sanoneet mitään.|5.99
ensimmaisetnovellit/ensimmaisetnovellit_0531.wav|Ei Antti ollut tahtonut Martin kelloa paljon kädessään käyttää, vaikka Martti oli kehoitellen hokenut, että saat tätä lakkariisikin koetella ...|Ei Antti ollut tahtonut Martin kelloa paljon kädessään käyttää, vaikka Martti oli kehoitellen hokenut, että saat tätä lakkariisikin koetella ...|9.25
ensimmaisetnovellit/ensimmaisetnovellit_0532.wav|koettele vain!... »Jos minä sen pudotan'» oli Antti sanonut. Etkä pudota, minä pidän peräimestä kiinni...|koettele vain!... Jos minä sen pudotan' oli Antti sanonut. Etkä pudota, minä pidän peräimestä kiinni...|9.27
ensimmaisetnovellit/ensimmaisetnovellit_0533.wav|Sitten vasta oli Antti uskaltanut, käännellyt, ihmetellen katsellut ja viimein pitkään huokaisten takaisin antanut ...|Sitten vasta oli Antti uskaltanut, käännellyt, ihmetellen katsellut ja viimein pitkään huokaisten takaisin antanut ...|9.33
ensimmaisetnovellit/ensimmaisetnovellit_0534.wav|ja Martin mielestä ei koko maailmassa ollut parempaa poikaa kuin Antti. Muut oppipojat ja kisällit sitä vastoin ...|ja Martin mielestä ei koko maailmassa ollut parempaa poikaa kuin Antti. Muut oppipojat ja kisällit sitä vastoin ...|9.91
ensimmaisetnovellit/ensimmaisetnovellit_0535.wav|ne olivat Antin suhteen kuin hurttia. Heti kellon nähtyään olivat sen väkisin käsistä vieneet,|ne olivat Antin suhteen kuin hurttia. Heti kellon nähtyään olivat sen väkisin käsistä vieneet,|7.19
ensimmaisetnovellit/ensimmaisetnovellit_0536.wav|töytänneet kaikki sen ympärille yhteen kehään, ettei Martti saanut itse sitä nähdäkään, ja aukaisseet kuoren ...|töytänneet kaikki sen ympärille yhteen kehään, ettei Martti saanut itse sitä nähdäkään, ja aukaisseet kuoren ...|8.14
ensimmaisetnovellit/ensimmaisetnovellit_0537.wav|vaikka olisihan niiden pitänyt se tietää, ettei kello kestä verstaan pölyä... Mutta siitäkös ne huoli ...|vaikka olisihan niiden pitänyt se tietää, ettei kello kestä verstaan pölyä... Mutta siitäkös ne huoli ...|6.86
ensimmaisetnovellit/ensimmaisetnovellit_0538.wav|vaikka herkeäisi käymästä, kun oli toisen kello. »Onko kellosi paljon'» kysyi Antti. »|vaikka herkeäisi käymästä, kun oli toisen kello. Onko kellosi paljon' kysyi Antti.|7.28
ensimmaisetnovellit/ensimmaisetnovellit_0539.wav|Istutaanhan tähän ensin ja katsotaan sitten...» Martti ja Antti istuutuivat tyhjälle penkille, ja Martti katsoi kelloaan...|Istutaanhan tähän ensin ja katsotaan sitten... Martti ja Antti istuutuivat tyhjälle penkille, ja Martti katsoi kelloaan...|8.71
ensimmaisetnovellit/ensimmaisetnovellit_0540.wav|Viittä vailla kuuden oli kello... Vitjat riippuivat samettiliivien päällä, ja Martti katseli niitä.|Viittä vailla kuuden oli kello... Vitjat riippuivat samettiliivien päällä, ja Martti katseli niitä.|7.7
ensimmaisetnovellit/ensimmaisetnovellit_0541.wav|Antti katseli myöskin syrjästä silmäillen... Sitten kohotti hän kätensä ja otti sivelläkseen Martin vitjoja.|Antti katseli myöskin syrjästä silmäillen... Sitten kohotti hän kätensä ja otti sivelläkseen Martin vitjoja.|7.97
ensimmaisetnovellit/ensimmaisetnovellit_0542.wav|Martti tarjosi hänelle käteen koko kellonkin... »Koetappas, saatko auki...» »Vaan jos tämä särkyy...?» »Eikä säry...» »|Martti tarjosi hänelle käteen koko kellonkin... Koetappas, saatko auki... Vaan jos tämä särkyy...? Eikä säry...|9.51
ensimmaisetnovellit/ensimmaisetnovellit_0543.wav|Enhän tuota saa auki...» »Ethän sinä osaa ... anna, kun minä näytän ... näin ... paina vain peukalosi päällä tätä nappia ...|Enhän tuota saa auki... Ethän sinä osaa ... anna, kun minä näytän ... näin ... paina vain peukalosi päällä tätä nappia ...|9.1
